AltAGL,AltB,AltGPS,AltMSL,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_OilP,E1_OilT,E1_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
3.00000,821.20000,754.40000,842.20000,1069.51000,1046.03000,1061.90000,1045.90000,1.87000,58.49000,79.25000,979.00000,24.00000,24.00000,0.00000,0.00000,-0.01000,-0.00000,18.50000,1.89000,0.13000,0.00000,-15.08000,3.90000,0.00000,0.00000
3.00000,821.20000,754.30000,842.10000,1069.28000,1045.50000,1062.67000,1047.41000,1.87000,58.57000,79.29000,981.90000,24.00000,24.00000,0.00000,0.00000,-0.00000,-0.02000,18.50000,1.89000,0.13000,0.00000,-15.97000,0.00000,0.00000,0.00000
3.00000,821.20000,754.40000,842.20000,1068.08000,1044.57000,1063.27000,1047.73000,1.87000,58.61000,79.29000,982.90000,24.00000,24.00000,0.00000,0.00000,-0.01000,0.02000,18.50000,1.92000,0.14000,0.00000,-16.00000,0.00000,0.00000,0.00000
3.00000,821.20000,754.40000,842.20000,1070.04000,1044.42000,1064.02000,1046.77000,1.85000,58.56000,79.32000,982.20000,24.00000,24.00000,0.00000,0.00000,0.00000,0.02000,18.50000,1.92000,0.14000,0.00000,-15.87000,0.00000,0.00000,0.00000
3.00000,821.20000,754.50000,842.30000,1069.80000,1044.23000,1064.03000,1046.06000,1.84000,58.58000,79.37000,982.90000,24.00000,24.00000,0.00000,0.00000,-0.00000,-0.01000,18.50000,1.91000,0.15000,0.00000,-10.40000,0.00000,0.00000,0.00000
3.00000,821.20000,754.40000,842.20000,1069.70000,1044.76000,1064.53000,1046.16000,1.84000,58.70000,79.37000,984.20000,24.00000,24.00000,0.00000,0.00000,-0.01000,0.02000,18.50000,1.92000,0.15000,0.00000,-15.74000,0.00000,0.00000,0.00000
3.00000,821.20000,754.40000,842.20000,1072.14000,1045.58000,1064.79000,1046.23000,1.85000,58.76000,79.41000,988.00000,24.00000,24.00000,0.00000,0.00000,0.00000,0.02000,18.50000,1.93000,0.15000,0.00000,-15.99000,0.00000,0.00000,0.00000
3.00000,820.20000,754.80000,842.60000,1070.99000,1046.95000,1065.60000,1047.17000,1.84000,58.63000,79.40000,985.50000,24.00000,24.00000,0.00000,0.00000,0.00000,-0.00000,18.50000,1.90000,0.14000,0.00000,-16.00000,0.00000,0.00000,0.00000
3.00000,821.20000,754.90000,842.80000,1070.51000,1047.64000,1067.97000,1046.18000,1.85000,58.62000,79.47000,984.00000,24.00000,24.00000,0.00000,0.00000,-0.00000,-0.00000,18.50000,1.89000,0.15000,0.00000,-8.23000,0.00000,0.00000,0.00000
3.00000,821.20000,755.00000,842.80000,1070.40000,1048.35000,1068.84000,1046.26000,1.87000,58.63000,79.48000,987.50000,24.00000,24.00000,0.00000,0.00000,-0.01000,-0.03000,18.80000,1.88000,0.13000,0.00000,-1.39000,0.00000,0.00000,0.00000
27.00000,821.20000,778.30000,866.10000,1068.56000,1049.27000,1069.69000,1047.47000,1.88000,58.69000,79.51000,988.30000,24.00000,24.00000,0.00000,0.00000,0.00000,0.00000,18.80000,1.90000,0.14000,0.00000,-0.05000,0.00000,0.00000,0.00000
27.00000,821.20000,778.10000,866.00000,1069.65000,1050.48000,1070.78000,1047.23000,1.87000,58.68000,79.53000,990.70000,24.00000,24.00000,0.00000,0.00000,-0.00000,0.01000,18.80000,1.90000,0.14000,0.00000,-0.00000,0.00000,0.00000,0.00000
26.00000,821.20000,777.90000,865.80000,1067.77000,1049.81000,1072.45000,1047.33000,1.86000,58.73000,79.55000,990.20000,24.00000,24.00000,0.00000,0.00000,-0.01000,0.01000,18.80000,1.88000,0.14000,0.00000,-0.00000,0.00000,0.00000,0.00000
26.00000,821.20000,777.60000,865.40000,1067.18000,1048.75000,1072.04000,1048.01000,1.86000,58.75000,79.58000,990.90000,24.00000,24.00000,0.00000,0.00000,-0.00000,-0.01000,18.80000,1.88000,0.14000,0.00000,-11.40000,0.00000,0.00000,0.00000
25.00000,820.20000,777.00000,864.80000,1064.22000,1047.65000,1071.87000,1047.31000,1.86000,58.76000,79.62000,992.20000,24.00000,24.00000,0.00000,0.00000,0.00000,0.00000,18.80000,1.89000,0.14000,0.00000,-21.59000,0.00000,0.00000,0.00000
26.00000,820.20000,777.30000,865.10000,1061.96000,1048.54000,1071.26000,1047.30000,1.87000,58.63000,79.64000,982.80000,24.00000,24.00000,0.00000,0.00000,0.00000,-0.01000,18.80000,1.87000,0.14000,0.00000,-17.34000,0.00000,0.00000,0.00000
25.00000,820.20000,777.10000,864.90000,1064.38000,1050.40000,1071.65000,1047.17000,1.86000,58.55000,79.67000,982.40000,24.00000,24.00000,0.00000,0.00000,-0.02000,-0.02000,18.80000,1.85000,0.12000,0.00000,-16.05000,0.00000,0.00000,0.00000
25.00000,820.20000,777.00000,864.80000,1067.12000,1050.46000,1072.17000,1045.86000,1.86000,58.50000,79.71000,981.10000,24.00000,24.00000,0.00000,0.00000,0.00000,-0.07000,18.80000,1.82000,0.12000,0.00000,-16.00000,0.00000,0.00000,0.00000
25.00000,820.20000,776.90000,864.70000,1067.28000,1049.47000,1071.74000,1046.69000,1.86000,58.52000,79.71000,983.10000,24.00000,24.00000,0.00000,0.00000,-0.00000,-0.02000,18.80000,1.85000,0.13000,0.00000,-16.00000,0.00000,0.00000,0.00000
25.00000,820.20000,777.00000,864.80000,1066.49000,1048.17000,1070.37000,1047.68000,1.86000,58.56000,79.75000,981.70000,24.00000,24.00000,0.00000,0.00000,0.00000,0.01000,18.80000,1.86000,0.12000,0.00000,-16.00000,0.00000,0.00000,0.00000
26.00000,820.20000,777.60000,865.40000,1068.05000,1048.87000,1069.13000,1048.76000,1.85000,58.38000,79.79000,976.00000,24.00000,24.00000,0.00000,0.00000,-0.01000,0.01000,18.80000,1.85000,0.13000,0.00000,-16.00000,0.00000,0.00000,0.00000
26.00000,820.20000,777.20000,865.00000,1069.67000,1047.34000,1066.92000,1047.56000,1.85000,58.26000,79.81000,974.20000,24.00000,24.00000,0.00000,0.00000,0.00000,-0.04000,18.80000,1.80000,0.13000,0.00000,-3.34000,0.00000,0.00000,0.00000
26.00000,821.20000,777.20000,865.00000,1068.07000,1046.65000,1066.12000,1045.95000,1.84000,58.31000,79.83000,975.00000,24.00000,24.00000,0.00000,0.00000,-0.00000,0.03000,18.80000,1.87000,0.14000,0.00000,6.93000,0.00000,0.00000,0.00000
