AltAGL,AltB,AltGPS,AltMSL,BaroA,E1_CHT1,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_MAP,E1_OilP,E1_OilT,E1_RPM,E2_CHT1,E2_EGT1,E2_EGT2,E2_EGT3,E2_EGT4,E2_FFlow,E2_OilP,E2_OilT,E2_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
1.00000,812.80000,749.20000,837.00000,29.84000,281.88000,1036.22000,1058.78000,1104.95000,1036.47000,1.70000,12.10000,51.12000,143.83000,1066.80000,253.20000,977.51000,973.39000,958.27000,1078.84000,2.06000,50.45000,143.48000,1007.50000,47.96000,54.00000,0.00000,0.00000,0.01000,0.01000,24.20000,0.83000,-0.16000,0.00000,-1.44000,0.00000,0.00000,0.00000
1.00000,812.80000,749.20000,837.00000,29.84000,282.17000,1033.71000,1059.21000,1104.84000,1036.33000,1.77000,12.11000,51.07000,143.79000,1058.70000,253.50000,974.96000,974.04000,957.92000,1071.91000,1.99000,50.57000,143.46000,1012.40000,47.92000,54.00000,0.00000,0.00000,-0.00000,0.00000,24.20000,0.82000,-0.18000,0.00000,-5.17000,0.00000,0.00000,0.00000
1.00000,812.80000,749.30000,837.10000,29.84000,282.40000,1032.35000,1059.41000,1108.98000,1038.16000,1.82000,12.16000,51.03000,143.73000,1057.40000,253.78000,972.17000,975.20000,960.05000,1069.82000,1.91000,50.64000,143.45000,1015.00000,47.99000,54.00000,0.00000,0.00000,0.00000,0.00000,24.20000,0.83000,-0.18000,0.00000,-15.42000,3.90000,0.00000,0.00000
1.00000,812.80000,749.40000,837.20000,29.84000,282.65000,1032.06000,1061.42000,1117.84000,1037.64000,2.00000,12.26000,50.88000,143.75000,1052.90000,254.05000,971.83000,977.00000,960.77000,1068.43000,1.88000,50.55000,143.42000,1006.00000,47.97000,54.00000,0.00000,0.00000,0.00000,0.00000,24.20000,0.82000,-0.18000,0.00000,-7.53000,0.00000,0.00000,0.00000
0.00000,812.80000,748.20000,836.10000,29.84000,282.89000,1032.25000,1063.45000,1119.68000,1037.34000,1.89000,12.26000,50.82000,143.69000,1057.00000,254.34000,975.13000,980.32000,961.99000,1063.42000,1.93000,50.69000,143.38000,1018.90000,47.95000,54.00000,0.00000,0.00000,0.01000,-0.00000,24.20000,0.82000,-0.15000,0.00000,-7.47000,0.00000,0.00000,0.00000
0.00000,812.80000,747.80000,835.60000,29.84000,283.13000,1033.12000,1064.71000,1118.89000,1035.98000,1.82000,12.24000,50.92000,143.77000,1059.50000,254.62000,973.31000,979.28000,963.70000,1057.07000,1.91000,50.81000,143.36000,1024.20000,47.97000,54.00000,0.00000,0.00000,0.00000,-0.01000,24.20000,0.81000,-0.15000,0.00000,-7.54000,0.00000,0.00000,0.00000
0.00000,812.80000,748.50000,836.30000,29.84000,283.37000,1030.99000,1065.68000,1117.54000,1035.99000,1.78000,12.19000,51.00000,143.69000,1056.00000,254.93000,973.03000,978.66000,964.85000,1051.28000,1.90000,50.80000,143.36000,1022.30000,48.07000,54.00000,0.00000,0.00000,0.01000,0.00000,24.20000,0.81000,-0.15000,0.00000,-14.42000,0.00000,0.00000,0.00000
0.00000,812.80000,748.50000,836.30000,29.84000,283.63000,1033.56000,1066.09000,1114.15000,1035.35000,1.77000,12.16000,51.08000,143.67000,1060.30000,255.20000,971.05000,978.17000,965.22000,1048.87000,1.90000,50.87000,143.36000,1030.60000,48.11000,54.00000,0.00000,0.00000,-0.00000,-0.00000,24.20000,0.81000,-0.15000,0.00000,-13.46000,0.00000,0.00000,0.00000
0.00000,812.80000,748.50000,836.40000,29.84000,283.85000,1033.67000,1065.46000,1107.61000,1038.41000,1.78000,12.14000,51.05000,143.68000,1061.30000,255.44000,968.55000,976.67000,965.10000,1046.71000,1.95000,50.81000,143.35000,1018.20000,48.21000,54.00000,0.00000,0.00000,-0.00000,-0.00000,24.20000,0.80000,-0.14000,0.00000,-0.96000,3.90000,0.00000,0.00000
0.00000,812.80000,748.50000,836.30000,29.84000,284.06000,1031.61000,1063.29000,1107.67000,1041.47000,1.76000,12.19000,51.09000,143.65000,1068.00000,255.71000,967.96000,979.44000,965.28000,1047.91000,1.97000,50.74000,143.32000,1018.50000,48.06000,54.00000,0.00000,0.00000,-0.01000,-0.00000,24.20000,0.81000,-0.13000,0.00000,-3.93000,0.00000,0.00000,0.00000
1.00000,812.80000,749.40000,837.20000,29.84000,284.28000,1031.04000,1060.46000,1105.74000,1042.57000,1.74000,12.15000,51.10000,143.63000,1068.50000,256.03000,968.03000,980.48000,964.50000,1049.22000,1.96000,50.74000,143.31000,1017.20000,48.08000,54.00000,0.00000,0.00000,0.00000,0.00000,24.20000,0.82000,-0.12000,0.00000,-4.68000,0.00000,0.00000,0.00000
