#AfcsOn,AltAGL,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,BaroA,COM1,COM2,CRS,E1 CHT1,E1 EGT Variance,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 MAP,E1 OilP,E1 OilT,E1 RPM,E2 CHT1,E2 EGT Variance,E2 EGT1,E2 EGT2,E2 EGT3,E2 EGT4,E2 FFlow,E2 MAP,E2 OilP,E2 OilT,E2 RPM,FQtyL,FQtyR,GndSpd,HAL,HCDI,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NormAc,OAT,PichC,Pitch,Roll,RollC,TAS,Total Fuel,TRK,volt1,VPLwas,VSpd,VSpdG,WndDr,WndSpd,WptBrg,WptDst
#bool,ft agl,ft Baro,ft wgs,ft msl,ft msl,amps,inch,MHz,MHz,deg,deg F,deg F,deg F,deg F,deg F,deg F,gph,Hg,psi,deg F,rpm,deg F,deg F,deg F,deg F,deg F,deg F,gph,Hg,psi,deg F,rpm,gals,gals,kt,mt,fsd,deg,mt,mt,kt,G,degrees,degrees,deg,G,deg C,deg,deg,deg,deg,kt,gals,deg,volts,mt,fpm,fpm,deg,kt,deg,nm
0.0,5.0,862.5,753.2,841.0,1.2999999999999545,3.2,29.83,120.55,119.4,176.0,259.36,121.74000000000001,1042.4,1094.04,1164.14,1062.31,1.85,12.21,52.54,132.91,1101.6,236.27,68.2600000000001,1002.87,1030.61,1023.02,1071.13,1.92,12.96,53.64,131.57,1115.2,53.63,54.0,0.0,3704.0,NaN,176.4,19.5,12.0,0.0,0.01,47.9500885,-97.1734619,3.1,0.0,32.2,NaN,1.56,-0.16,NaN,0.0,107.63,266.9,27.5,20.0,-27.53,0.0,NaN,NaN,NaN,NaN
0.0,5.0,863.5,753.3,841.1,1.3000000000000682,3.1,29.83,120.55,119.4,176.0,259.77,120.78999999999996,1042.21,1094.53,1163.0,1062.83,1.87,12.26,52.53,132.88,1094.4,236.72,63.51999999999998,1005.51,1029.23,1021.43,1069.03,1.93,13.02,53.48,131.58,1109.1,53.67,54.0,0.0,3704.0,NaN,176.4,19.5,12.0,0.0,-0.0,47.9500885,-97.1734619,3.1,0.0,32.2,NaN,1.56,-0.16,NaN,0.0,107.67,266.9,27.5,20.0,-6.49,0.0,NaN,NaN,NaN,NaN
0.0,5.0,863.5,753.4,841.2,2.0,3.0,29.83,120.55,119.4,176.0,260.21,118.69000000000005,1042.06,1093.71,1160.75,1061.34,1.88,12.27,52.62,132.89,1103.2,237.17,60.65999999999997,1009.6,1029.58,1020.51,1070.26,1.93,13.05,53.45,131.54,1107.5,53.63,54.0,0.0,3704.0,NaN,176.4,20.0,12.0,0.0,0.0,47.9500885,-97.1734619,3.1,-0.01,32.2,NaN,1.54,-0.16,NaN,0.0,107.63,266.9,27.5,20.0,-0.25,0.0,NaN,NaN,NaN,NaN
0.0,5.0,862.5,753.2,841.0,1.8999999999999773,3.0,29.83,120.55,119.4,176.0,260.61,113.60000000000014,1042.6,1092.8,1156.2,1060.38,1.91,12.27,52.49,132.95,1092.1,237.62,60.809999999999945,1006.55,1030.68,1022.7,1067.36,1.96,13.03,53.49,131.6,1114.5,53.62,54.0,0.0,3704.0,NaN,176.4,19.5,11.0,0.0,0.01,47.9500885,-97.1734619,3.1,0.01,32.2,NaN,1.55,-0.14,NaN,0.0,107.62,266.9,27.5,19.0,-13.84,0.0,NaN,NaN,NaN,NaN
0.0,4.0,862.5,753.0,840.8,0.7999999999999545,3.0,29.83,120.55,119.4,176.0,260.99,115.32999999999993,1042.04,1094.83,1157.37,1060.03,2.07,12.33,52.58,132.92,1097.4,238.07,59.419999999999845,1004.69,1028.9,1024.39,1064.11,1.94,12.99,53.55,131.53,1112.0,53.67,54.0,0.0,3704.0,NaN,176.4,19.5,12.0,0.0,-0.0,47.9500923,-97.1734619,3.1,0.0,32.2,NaN,1.54,-0.15,NaN,0.0,107.67,266.9,27.5,19.0,-15.93,0.0,NaN,NaN,NaN,NaN
0.0,4.0,862.5,752.6,840.4,0.1999999999999318,3.1,29.83,120.55,119.4,176.0,261.4,112.01999999999998,1041.08,1096.15,1153.1,1061.02,1.98,12.27,52.72,132.86,1103.3,238.49,56.819999999999936,1003.8,1028.72,1024.05,1060.62,1.95,12.99,53.59,131.58,1118.6,53.72,54.0,0.0,3704.0,NaN,176.4,19.0,11.0,0.0,-0.0,47.9500923,-97.1734619,3.1,0.0,32.2,NaN,1.55,-0.16,NaN,0.0,107.72,266.9,27.5,19.0,-16.0,0.0,NaN,NaN,NaN,NaN
0.0,5.0,863.5,753.3,841.1,0.8000000000000682,3.1,29.83,120.55,119.4,176.0,261.79,106.75,1041.33,1098.6,1148.08,1062.24,1.89,12.22,52.83,132.9,1103.9,238.97,60.590000000000146,1002.31,1030.96,1024.61,1062.9,1.92,13.01,53.54,131.54,1111.8,53.74,54.0,0.0,3704.0,NaN,176.4,19.0,11.0,0.0,0.01,47.9500923,-97.1734619,3.1,0.01,32.2,NaN,1.53,-0.15,NaN,0.0,107.74000000000001,266.9,27.5,18.0,5.2,0.0,NaN,NaN,NaN,NaN
0.0,5.0,863.5,753.4,841.2,0.8000000000000682,3.0,29.83,120.55,119.4,176.0,262.23,108.56999999999994,1039.7,1101.39,1148.27,1062.62,1.85,12.24,52.8,132.87,1101.9,239.41,66.55000000000007,1001.84,1034.0,1024.41,1068.39,1.93,13.01,53.47,131.59,1111.8,53.68,54.0,0.0,3704.0,NaN,176.5,19.0,11.0,0.0,0.0,47.9500923,-97.1734619,3.1,0.01,32.2,NaN,1.53,-0.14,NaN,0.0,107.68,266.9,27.5,19.0,6.47,0.0,NaN,NaN,NaN,NaN
0.0,5.0,863.5,753.5,841.3,0.09999999999990905,3.0,29.83,120.55,119.4,176.0,262.59,108.85000000000014,1039.1,1101.1,1147.95,1063.52,1.82,12.26,52.78,132.85,1104.4,239.8,69.53000000000009,1001.4,1033.13,1022.76,1070.93,1.93,13.02,53.48,131.58,1112.7,53.61,54.0,0.0,3704.0,NaN,176.5,19.0,11.0,0.0,-0.0,47.9500923,-97.1734619,3.1,0.0,32.2,NaN,1.53,-0.14,NaN,0.0,107.61,266.9,27.5,19.0,3.91,0.0,NaN,NaN,NaN,NaN
0.0,5.0,864.5,753.6,841.4,-0.10000000000002274,2.9,29.83,120.55,119.4,176.0,262.97,106.43000000000006,1038.23,1101.47,1144.66,1065.23,1.82,12.23,52.74,132.9,1101.4,240.25,71.38000000000011,1000.81,1032.02,1020.79,1072.19,1.9,13.05,53.43,131.62,1107.2,53.66,54.0,0.0,3704.0,NaN,176.5,19.5,11.0,0.0,0.0,47.9500923,-97.1734619,3.1,-0.0,32.2,NaN,1.52,-0.13,NaN,0.0,107.66,266.9,27.5,19.0,22.37,0.0,NaN,NaN,NaN,NaN
