#AltAGL,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,amp2,BaroA,COM1,COM2,E1 CHT Variance,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Variance,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NormAc,OAT,Pitch,Roll,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpdG,WndDr,WndSpd
#ft agl,ft Baro,ft wgs,ft msl,ft msl,amps,amps,inch,MHz,MHz,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,gph,psi,deg F,rpm,gals,gals,kt,deg,mt,mt,kt,G,degrees,degrees,deg,G,deg C,deg,deg,kt,gals,deg,volts,volts,mt,fpm,fpm,deg,kt
0.0,858.0,751.0,838.8,-1.8000000000000682,4.6,0.2,29.97,118.4,119.4,16.03,200.45,200.86,208.34,216.48,87.82999999999993,1141.26,1067.35,1053.43,1070.91,2.31,57.76,108.43,1045.9,19.55,18.01,0.0,178.5,35.5,15.0,0.0,0.01,47.9481926,-97.1727371,3.1,0.0,24.0,1.22,0.08,0.0,37.56,268.2,28.2,28.2,18.0,21.9,0.0,NaN,NaN
0.0,857.0,750.6,838.4,-2.3999999999999773,4.6,0.2,29.97,118.4,119.4,16.039999999999992,200.94,201.37,208.83,216.98,87.52999999999997,1141.17,1067.32,1053.64,1071.06,2.32,57.71,108.43,1045.0,19.6,17.98,0.0,178.4,35.5,15.0,0.0,0.0,47.9481926,-97.1727371,3.1,0.0,24.0,1.22,0.11,0.0,37.58,268.2,28.2,28.2,18.0,2.44,0.0,NaN,NaN
0.0,856.0,752.1,839.9,-1.0,4.5,0.2,29.97,118.4,119.4,16.03,201.83,202.23,209.68,217.86,85.78999999999996,1140.35,1065.46,1054.56,1070.53,2.33,57.76,108.44,1047.2,19.6,17.93,0.0,178.5,36.0,15.0,0.0,0.0,47.9481888,-97.1727371,3.1,-0.0,24.0,1.23,0.1,0.0,37.53,268.2,28.2,28.2,18.0,-29.47,0.0,NaN,NaN
0.0,856.0,752.1,839.9,-1.2000000000000455,4.5,0.2,29.97,118.4,119.4,16.02000000000001,202.28,202.67,210.22,218.3,83.75999999999999,1139.03,1064.0,1055.27,1070.4,2.33,57.84,108.45,1050.2,19.62,17.9,0.0,178.5,36.5,15.0,0.0,0.0,47.9481888,-97.1727371,3.1,0.0,24.0,1.25,0.12,0.0,37.519999999999996,268.2,28.2,28.2,18.0,-24.86,0.0,NaN,NaN
0.0,856.0,752.1,839.9,-0.8000000000000682,4.5,0.2,29.97,118.4,119.4,16.03,202.74,203.11,210.63,218.77,79.83999999999992,1136.28,1063.29,1056.44,1070.72,2.33,57.75,108.45,1049.1,19.65,17.9,0.0,178.5,37.0,15.0,0.0,0.0,47.9481888,-97.1727371,3.1,0.02,24.0,1.26,0.08,0.0,37.55,268.2,28.2,28.2,19.0,-16.42,0.0,NaN,NaN
0.0,855.0,751.8,839.6,-1.1999999999999318,4.5,0.2,29.97,118.4,119.4,16.02000000000001,203.16,203.56,211.12,219.18,77.46000000000004,1134.93,1064.2,1057.47,1070.21,2.33,57.8,108.46,1049.9,19.65,17.87,0.0,178.5,36.0,15.0,0.0,-0.01,47.9481926,-97.1727371,3.1,-0.01,24.0,1.24,0.09,0.0,37.519999999999996,268.2,28.2,28.2,18.0,-16.01,0.0,NaN,NaN
0.0,855.0,752.0,839.8,0.2999999999999545,4.4,0.2,29.97,118.4,119.4,16.039999999999992,203.27,203.65,211.28,219.31,77.55999999999995,1134.46,1064.11,1056.9,1069.12,2.29,57.77,108.47,1049.2,19.62,17.87,0.0,178.5,36.0,15.0,0.0,-0.0,47.9481888,-97.1727371,3.1,-0.0,24.0,1.24,0.14,0.0,37.49,268.2,28.2,28.2,18.0,-15.39,0.0,NaN,NaN
0.0,855.0,750.4,838.2,-1.1999999999999318,4.5,0.2,29.97,118.4,119.4,16.02000000000001,203.39,203.78,211.39,219.41,78.0,1134.47,1063.45,1056.47,1068.62,2.29,57.76,108.47,1049.2,19.62,17.87,0.0,178.5,36.0,15.0,0.0,-0.01,47.9481926,-97.1727371,3.1,0.01,24.0,1.24,0.12,0.0,37.49,268.2,28.2,28.2,18.0,-5.82,0.0,NaN,NaN
0.0,856.0,750.2,838.1,-1.0,4.5,0.2,29.97,118.4,119.4,16.039999999999992,203.78,204.16,211.75,219.82,78.84999999999991,1135.09,1063.13,1056.24,1068.69,2.31,57.75,108.48,1049.5,19.6,17.93,0.0,178.5,36.0,15.0,0.0,-0.01,47.9481926,-97.1727295,3.1,-0.01,24.0,1.24,0.08,0.0,37.53,268.2,28.2,28.2,18.0,-0.3,0.0,NaN,NaN
0.0,856.0,750.1,837.9,-1.0,4.5,0.2,29.97,118.4,119.4,16.060000000000002,204.14,204.53,212.1,220.2,80.47000000000003,1136.34,1062.67,1055.87,1068.88,2.31,57.76,108.49,1048.5,19.6,17.93,0.0,178.5,36.5,15.0,0.0,-0.0,47.9481926,-97.1727295,3.1,0.01,24.0,1.26,0.11,0.0,37.53,268.2,28.2,28.2,18.0,1.31,0.0,NaN,NaN
