#AltAGL,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,BaroA,COM1,COM2,CRS,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HCDI,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NAV1,NormAc,OAT,Pitch,Roll,TAS,Total Fuel,TRK,volt1,VPLwas,VSpd,VSpdG,WndDr,WndSpd,WptBrg,WptDst
#ft agl,ft Baro,ft wgs,ft msl,ft msl,amps,inch,MHz,MHz,deg,deg F,deg F,deg F,deg F,gph,psi,deg F,rpm,gals,gals,kt,mt,fsd,deg,mt,mt,kt,G,degrees,degrees,deg,MHz,G,deg C,deg,deg,kt,gals,deg,volts,mt,fpm,fpm,deg,kt,deg,nm
3.0,822.6,751.5,839.3,0.8999999999999773,6.0,30.04,120.55,124.575,266.0,1106.87,1089.99,1111.67,1104.42,2.36,56.17,139.83,1130.3,21.56,18.73,0.0,3704.0,NaN,356.6,18.5,14.0,0.0,-0.0,47.9479561,-97.1724472,3.1,109.1,-0.01,28.5,3.31,1.0,0.0,40.29,266.8,28.0,18.0,-0.0,0.0,NaN,NaN,NaN,NaN
3.0,822.6,751.7,839.5,1.0,6.0,30.04,120.55,124.575,266.0,1108.55,1090.37,1113.7,1104.4,2.39,56.27,139.84,1128.4,21.56,18.77,0.0,3704.0,NaN,356.6,18.5,14.0,0.0,-0.02,47.9479561,-97.1724472,3.1,109.1,0.03,28.5,3.32,1.02,0.0,40.33,266.8,28.0,18.0,-0.0,0.0,NaN,NaN,NaN,NaN
3.0,823.6,751.8,839.6,0.6000000000000227,6.1,30.04,120.55,124.575,266.0,1108.13,1090.48,1113.39,1102.38,2.37,56.14,139.84,1126.7,21.55,18.77,0.0,3704.0,NaN,356.6,19.5,14.0,0.0,-0.02,47.9479561,-97.1724472,3.1,109.1,0.0,28.5,3.31,1.01,0.0,40.32,266.8,28.0,18.0,-0.0,0.0,NaN,NaN,NaN,NaN
3.0,822.6,751.8,839.6,1.0,6.3,30.04,120.55,124.575,266.0,1106.14,1091.54,1114.19,1104.78,2.38,56.11,139.81,1122.2,21.56,18.83,0.0,3704.0,NaN,356.6,19.5,14.0,0.0,-0.03,47.9479561,-97.1724472,3.1,109.1,0.01,28.5,3.32,1.01,0.0,40.39,266.8,28.0,18.0,-0.61,0.0,NaN,NaN,NaN,NaN
3.0,822.6,751.7,839.5,1.0,6.2,30.04,120.55,124.575,266.0,1106.91,1091.61,1115.08,1106.47,2.4,56.15,139.78,1123.2,21.55,18.81,0.0,3704.0,NaN,356.6,19.5,14.0,0.0,-0.0,47.9479561,-97.1724472,3.1,109.1,-0.01,28.5,3.34,1.01,0.0,40.36,266.8,28.0,18.0,-14.85,0.0,NaN,NaN,NaN,NaN
2.0,822.6,751.1,838.9,0.2999999999999545,6.1,30.04,120.55,124.575,266.0,1107.72,1091.49,1117.0,1107.31,2.39,56.11,139.79,1126.9,21.53,18.8,0.0,3704.0,NaN,356.5,19.0,14.0,0.0,-0.03,47.9479561,-97.1724472,3.1,109.1,0.07,28.5,3.34,1.03,0.0,40.33,266.8,28.0,18.0,-15.96,0.0,NaN,NaN,NaN,NaN
2.0,822.6,751.2,839.0,0.39999999999997726,6.1,30.04,120.55,124.575,266.0,1109.78,1091.19,1117.9,1107.29,2.39,56.22,139.77,1126.3,21.54,18.85,0.0,3704.0,NaN,356.6,19.0,14.0,0.0,-0.03,47.9479523,-97.1724472,3.1,109.1,0.0,28.5,3.31,1.03,0.0,40.39,266.8,28.0,18.0,-16.0,0.0,NaN,NaN,NaN,NaN
2.0,822.6,751.2,839.0,0.2999999999999545,5.8,30.04,120.55,124.575,266.0,1113.51,1091.82,1116.97,1106.55,2.39,56.15,139.72,1124.7,21.54,18.8,0.0,3704.0,NaN,356.6,19.0,14.0,0.0,-0.01,47.9479523,-97.1724472,3.1,109.1,0.02,28.5,3.33,1.02,0.0,40.34,266.8,28.0,18.0,-16.0,0.0,NaN,NaN,NaN,NaN
2.0,822.6,751.1,839.0,0.20000000000004547,6.0,30.04,120.55,124.575,266.0,1112.82,1091.25,1117.78,1107.12,2.37,56.13,139.71,1126.7,21.54,18.78,0.0,3704.0,NaN,356.6,19.5,14.0,0.0,-0.03,47.9479523,-97.1724472,3.1,109.1,-0.02,28.5,3.3,1.02,0.0,40.32,266.8,28.0,18.0,-16.0,0.0,NaN,NaN,NaN,NaN
2.0,822.6,751.1,839.0,-0.5,5.9,30.04,120.55,124.575,266.0,1112.25,1090.65,1115.49,1107.81,2.37,56.14,139.71,1126.7,21.54,18.77,0.0,3704.0,NaN,356.6,19.5,14.0,0.0,-0.0,47.9479523,-97.1724472,3.1,109.1,-0.0,28.5,3.31,1.0,0.0,40.31,266.8,28.0,18.0,-16.0,0.0,NaN,NaN,NaN,NaN
