Date,Open,High,Low,Close,Adj Close,Volume
8/20/01,116.800003,117.900002,116.550003,117.830002,80.270958,10417400
8/21/01,117.800003,118.540001,115.800003,115.82,78.901688,14480800
8/22/01,116.75,117.43,115.779999,117.019997,79.719162,11752300
8/23/01,116.959999,117.519997,116.489998,116.599998,79.43306,8744100
8/24/01,117.209999,119.129997,116.739998,119.019997,81.08165,11687700
8/27/01,118.970001,119.199997,118.260002,118.309998,80.597992,7425100
8/28/01,118.279999,118.489998,116.580002,116.580002,79.419411,12046600
8/29/01,117.129997,117.18,115.169998,115.540001,78.710922,16180000
8/30/01,114.849998,115.739998,112.040001,113.32,77.198608,17692600
8/31/01,113.400002,114.769997,113.129997,114.150002,77.764015,15985400
9/4/01,113.849998,116.169998,113.370003,113.419998,77.266685,24473400
9/5/01,113.699997,114.190002,111.949997,113.699997,77.457443,21477100
9/6/01,112.650002,113.300003,110.769997,110.769997,75.461411,21653000
9/7/01,110.019997,111.25,108.629997,108.720001,74.064857,33133900
9/10/01,107.699997,110.349998,107.699997,110.050003,74.970901,23408700
9/17/01,101,106.400002,100,104.300003,71.053749,32388700
9/18/01,104.330002,105.300003,103.360001,104.050003,70.883423,22029200
9/19/01,104.099998,104.5,98.559998,101.949997,69.452843,42771800
9/20/01,100.400002,101.809998,98.559998,98.709999,67.245583,36210900
9/21/01,94.279999,98.989998,93.800003,97.279999,66.520096,49782100
9/24/01,99.720001,101.160004,99.059998,100.699997,68.858681,25549600
9/25/01,100.75,102,99.900002,101.75,69.57666,25466200
9/26/01,102.349998,102.400002,100.43,101.389999,69.330467,18587500
9/27/01,101.25,102.290001,100,102.269997,69.932259,20536800
9/28/01,102.980003,109.620003,102.5,104.440002,71.416061,21687200
10/1/01,103.900002,104.32,102.830002,104.269997,71.299873,20457400
10/2/01,104,105.580002,103.650002,105.580002,72.195656,19833100
10/3/01,104.599998,107.879997,104.349998,107.349998,73.40596,32045800
10/4/01,108.290001,108.970001,106.75,107.440002,73.467476,32674100
10/5/01,107.25,107.620003,105.519997,107.230003,73.323868,29796100
10/8/01,106.269997,107.300003,105.870003,106.529999,72.845253,12970300
10/9/01,106.610001,106.75,105.599998,105.959999,72.455444,15976300
10/10/01,105.800003,108.550003,105.519997,108.32,74.069244,19987400
10/11/01,108.949997,110.300003,108.949997,110,75.218033,23006300
10/12/01,109.150002,109.889999,107.300003,109.5,74.876129,31360500
10/15/01,108.629997,109.449997,108.059998,109.300003,74.739357,16873000
10/16/01,109.800003,110.610001,108.949997,109.989998,75.211174,15877100
