AltAGL,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,volt1,volt2,VSpd,VSpdG
#ft agl,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,psi,deg F,rpm,gals,gals,kt,kt,G,G,deg C,deg,deg,kt,volts,volts,fpm,fpm
0.0,181.49,179.77,182.18,195.02,1080.6,1063.58,1055.67,1015.83,63.53,87.43,1020.2,20.37,22.32,0.0,0.0,0.01,-0.0,31.5,1.86,0.46,0.0,27.9,27.9,0.46,-3.9
0.0,182.32,180.44,182.93,195.76,1080.87,1061.63,1058.23,1016.64,63.57,87.47,1023.1,20.37,22.36,0.0,0.0,0.0,0.01,31.5,1.87,0.48,0.0,28.0,28.0,39.34,-3.9
0.0,183.11,181.24,183.66,196.47,1080.46,1061.47,1059.38,1018.32,63.65,87.5,1029.8,20.4,22.38,0.0,0.0,-0.01,-0.02,31.5,1.86,0.48,0.0,28.0,28.0,19.19,0.0
0.0,184.03,181.91,184.49,197.3,1079.81,1062.3,1059.19,1019.94,63.52,87.53,1022.6,20.4,22.38,0.0,0.0,-0.01,-0.01,31.5,1.82,0.49,0.0,28.0,28.0,4.09,3.9
0.0,184.8,182.59,185.27,198.01,1080.78,1062.82,1059.09,1019.51,63.62,87.57,1027.6,20.4,22.38,0.0,0.0,-0.02,0.02,31.5,1.89,0.51,0.0,28.0,28.0,11.46,0.0
0.0,185.6,183.2,186.0,198.7,1080.84,1063.63,1060.03,1019.12,63.55,87.6,1024.8,20.4,22.38,0.0,0.0,-0.01,-0.0,31.5,1.86,0.49,0.0,28.0,28.0,19.8,0.0
0.0,186.36,183.94,186.74,199.42,1081.04,1064.76,1061.07,1020.87,63.47,87.64,1023.6,20.42,22.36,0.0,0.0,-0.02,-0.0,31.5,1.87,0.49,0.0,28.0,28.0,5.48,0.0
0.0,187.15,184.6,187.46,200.11,1081.07,1065.78,1061.73,1021.87,63.46,87.67,1021.7,20.42,22.36,0.0,0.0,-0.01,-0.01,31.5,1.87,0.46,0.0,28.0,28.0,2.57,0.0
0.0,187.91,185.25,188.19,200.78,1079.68,1067.75,1064.53,1019.95,63.48,87.7,1024.0,20.42,22.34,0.0,0.0,-0.01,-0.01,31.5,1.83,0.48,0.0,28.0,28.0,-20.43,15.7
0.0,188.67,185.89,188.89,201.49,1079.11,1069.12,1067.05,1019.45,63.54,87.74,1025.0,20.42,22.32,0.0,0.0,-0.01,0.01,31.5,1.9,0.49,0.0,28.0,28.0,-8.32,-3.9
0.0,189.42,186.56,189.63,202.16,1078.73,1069.11,1067.3,1020.91,63.66,87.77,1030.7,20.42,22.32,0.0,0.0,-0.01,0.0,31.5,1.82,0.45,0.0,28.0,28.0,19.53,0.0
0.0,189.54,186.55,189.69,202.18,1077.22,1068.4,1066.21,1021.83,63.52,87.81,1025.1,20.42,22.32,0.0,0.0,-0.0,-0.0,31.2,1.87,0.48,0.0,28.0,28.0,2.41,0.0
0.0,190.23,187.06,190.34,202.78,1077.16,1067.65,1065.31,1022.96,63.57,87.84,1026.1,20.42,22.32,0.0,0.0,0.0,-0.01,31.2,1.89,0.47,0.0,28.0,28.0,-4.3,0.0
0.0,190.98,187.72,191.04,203.47,1078.4,1066.97,1064.3,1023.07,63.48,87.88,1027.0,20.42,22.3,0.0,0.0,0.01,-0.0,31.2,1.89,0.45,0.0,28.0,28.0,-8.08,0.0
0.0,191.73,188.37,191.75,204.17,1080.08,1067.36,1064.7,1023.12,63.4,87.91,1018.9,20.42,22.3,0.0,0.0,-0.01,-0.01,31.2,1.87,0.45,0.0,28.0,28.0,-15.66,0.0
0.0,192.44,189.08,192.42,204.81,1081.82,1067.5,1064.73,1023.2,63.41,87.95,1022.9,20.42,22.28,0.0,0.0,-0.01,0.02,31.2,1.91,0.46,0.0,28.0,28.0,-7.59,0.0
