AltAGL,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,volt1,volt2,VSpd,VSpdG
#ft agl,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,psi,deg F,rpm,gals,gals,kt,kt,G,G,deg C,deg,deg,kt,volts,volts,fpm,fpm
1.0,136.84,126.96,142.43,131.42,1043.43,1049.75,1041.25,1031.16,57.26,95.92,979.2,21.62,20.97,0.0,0.0,-0.01,-0.0,17.0,2.16,0.43,0.0,28.0,28.0,13.07,0.0
1.0,137.72,127.79,143.32,132.27,1043.47,1050.71,1042.58,1030.39,57.24,95.9,978.8,21.62,20.97,0.0,0.0,-0.0,-0.01,17.0,2.18,0.44,0.0,28.0,28.0,15.89,0.0
2.0,138.53,128.6,144.08,133.19,1044.36,1053.89,1041.69,1031.1,57.29,95.87,979.9,21.62,21.0,0.0,0.0,-0.01,0.01,17.0,2.2,0.43,0.0,28.0,28.0,16.0,0.0
3.0,139.33,129.31,144.84,134.0,1045.66,1054.19,1039.64,1032.79,57.35,95.84,984.4,21.62,21.0,0.0,0.0,-0.01,-0.0,17.0,2.19,0.43,0.0,28.0,28.0,16.0,3.9
3.0,140.15,130.05,145.57,134.74,1046.8,1054.36,1038.75,1032.65,57.3,95.82,982.4,21.62,21.0,0.0,0.0,-0.01,0.01,17.0,2.19,0.46,0.0,28.0,28.0,1.58,3.9
4.0,140.91,130.86,146.32,135.57,1048.59,1054.23,1039.28,1031.63,57.28,95.79,982.9,21.62,21.0,0.0,0.0,-0.0,-0.0,17.0,2.19,0.44,0.0,28.0,28.0,0.05,3.9
4.0,141.68,131.54,147.07,136.39,1049.73,1053.72,1039.94,1031.67,57.3,95.77,982.2,21.62,21.0,0.0,0.0,-0.01,-0.02,17.0,2.19,0.43,0.0,28.0,28.0,0.0,0.0
4.0,142.47,132.3,147.8,137.27,1049.36,1053.54,1040.9,1031.99,57.26,95.75,980.8,21.62,21.0,0.0,0.0,-0.01,0.02,17.0,2.22,0.45,0.0,28.0,28.0,0.0,0.0
3.0,143.23,133.02,148.54,137.99,1049.04,1054.03,1043.21,1032.89,57.11,95.72,972.4,21.62,21.03,0.0,0.0,-0.01,0.02,16.8,2.22,0.41,0.0,28.0,28.0,0.0,0.0
2.0,144.01,133.72,149.29,138.78,1049.93,1054.2,1044.6,1034.34,57.21,95.7,974.9,21.62,21.03,0.0,0.0,-0.01,-0.02,16.8,2.19,0.42,0.0,28.0,28.0,8.09,0.0
2.0,144.77,134.44,150.03,139.65,1049.96,1054.07,1044.54,1033.98,57.18,95.68,976.0,21.62,21.03,0.0,0.0,-0.01,-0.0,16.8,2.16,0.4,0.0,28.0,28.0,23.08,0.0
2.0,145.52,135.17,150.72,140.47,1052.38,1053.69,1045.06,1033.95,57.12,95.66,972.4,21.62,21.03,0.0,0.0,-0.0,-0.01,16.8,2.16,0.38,0.0,28.0,28.0,10.61,0.0
2.0,146.28,135.9,151.46,141.22,1053.44,1053.19,1045.1,1033.7,57.21,95.63,976.7,21.62,21.03,0.0,0.0,0.0,-0.01,16.8,2.15,0.37,0.0,28.0,28.0,1.83,0.0
1.0,147.08,136.61,152.17,142.08,1052.58,1052.52,1045.19,1034.0,57.23,95.61,979.9,21.62,21.03,0.0,0.0,-0.0,-0.0,16.8,2.16,0.37,0.0,28.0,28.0,6.34,-3.9
3.0,147.91,137.46,153.01,142.93,1051.9,1051.39,1045.68,1034.42,57.18,95.59,975.6,21.62,21.03,0.0,0.0,-0.02,-0.01,16.8,2.14,0.34,0.0,28.0,28.0,28.98,-3.9
2.0,148.66,138.26,153.75,143.73,1051.52,1049.91,1046.54,1035.07,57.2,95.57,976.4,21.62,21.03,0.0,0.0,-0.01,0.01,16.8,2.13,0.38,0.0,28.0,28.0,25.84,-3.9
3.0,149.43,138.88,154.46,144.53,1051.46,1048.38,1047.17,1035.67,57.3,95.55,981.6,21.62,21.03,0.0,0.0,-0.01,-0.01,16.8,2.15,0.37,0.0,28.0,28.0,16.54,-3.9
3.0,150.15,139.59,155.15,145.31,1052.25,1048.15,1046.86,1034.26,57.24,95.53,980.8,21.62,21.05,0.0,0.0,-0.01,-0.0,16.8,2.18,0.42,0.0,28.0,28.0,16.02,-3.9
3.0,150.88,140.27,155.86,146.09,1053.11,1048.87,1046.81,1035.39,57.22,95.51,977.3,21.62,21.08,0.0,0.0,-0.0,0.01,16.8,2.18,0.41,0.0,28.0,28.0,0.06,-3.9
3.0,151.6,140.97,156.54,146.85,1053.96,1050.58,1046.65,1036.2,57.27,95.49,981.7,21.55,21.08,0.0,0.0,-0.0,-0.0,16.8,2.15,0.41,0.0,28.0,28.0,-28.13,-3.9
1.0,152.13,141.66,157.25,147.44,1055.62,1052.37,1047.19,1035.3,57.28,95.47,982.4,21.55,21.08,0.0,0.0,0.0,0.0,16.8,2.16,0.38,0.0,28.0,28.0,-24.81,-3.9
2.0,152.24,141.56,157.18,147.58,1055.35,1052.25,1047.51,1034.32,57.19,95.45,977.5,21.55,21.08,0.0,0.0,0.01,-0.0,16.8,2.13,0.43,0.0,28.0,28.0,9.12,-3.9
2.0,152.88,142.19,157.8,148.2,1054.44,1052.22,1048.08,1034.7,57.27,95.43,981.0,21.55,21.08,0.0,0.0,-0.01,-0.0,16.8,2.13,0.45,0.0,28.0,28.0,17.19,0.0
1.0,153.59,142.86,158.48,148.96,1054.71,1052.4,1047.29,1034.8,57.11,95.41,973.3,21.62,21.08,0.0,0.0,-0.01,-0.01,16.8,2.11,0.43,0.0,28.0,28.0,13.57,0.0
